prime_lex,target_lex,similarity,prime_text,prime_audio,target_text,target_audio
FrenchPrime,Word,NoMatch,they fill,prime_audio/they fill.wav,moins raide,target_audio/moins raide.wav
FrenchPrime,Word,Match,a vein,prime_audio/a vein.wav,une veine,target_audio/une veine.wav
FrenchPrime,Nonword,NoMatch,the eel,prime_audio/the eel.wav,une quèppe,target_audio/une keppe.wav
FrenchPrime,Nonword,NoMatch,a bell,prime_audio/a bell.wav,le ouingue,target_audio/le ouingue.wav
FrenchPrime,Word,NoMatch,they caught,prime_audio/they caught.wav,une ville,target_audio/une ville.wav
NonFrenchPrime,Word,NoMatch,it's sad,prime_audio/it's sad.wav,la mite,target_audio/la mite.wav
FrenchPrime,Nonword,NoMatch,a tie,prime_audio/a tie.wav,un bage,target_audio/un bage.wav
FrenchPrime,Nonword,NoMatch,the sash,prime_audio/the sash.wav,la velle,target_audio/la velle.wav
FrenchPrime,Nonword,NoMatch,a nap,prime_audio/a nap.wav,un quème,target_audio/un queme.wav
FrenchPrime,Word,NoMatch,a niece,prime_audio/a niece.wav,un phoque,target_audio/un phoque.wav
FrenchPrime,Nonword,NoMatch,some tea,prime_audio/some tea.wav,la dôle,target_audio/la dole.wav
FrenchPrime,Word,Match,the farce,prime_audio/the farce.wav,la face,target_audio/la face.wav
FrenchPrime,Nonword,NoMatch,the folk,prime_audio/the folk.wav,je voule,target_audio/je voule.wav
FrenchPrime,Nonword,NoMatch,it's red,prime_audio/it's red.wav,il vique,target_audio/il vique.wav
FrenchPrime,Nonword,NoMatch,the leg,prime_audio/the leg.wav,une foge,target_audio/une foge.wav
FrenchPrime,Word,NoMatch,some meat,prime_audio/some meat.wav,plus belle,target_audio/plus belle.wav
NonFrenchPrime,Nonword,Match,they cope,prime_audio/they cope.wav,la côppe,target_audio/la coppe.wav
NonFrenchPrime,Word,NoMatch,the tune,prime_audio/the tune.wav,la pâques,target_audio/la paques.wav
FrenchPrime,Nonword,NoMatch,the case,prime_audio/the case.wav,il noure,target_audio/il noure.wav
FrenchPrime,Word,Match,a lease,prime_audio/a lease.wav,la lice,target_audio/la lice.wav
FrenchPrime,Nonword,NoMatch,some veal,prime_audio/some veal.wav,plus binque,target_audio/plus binque.wav
FrenchPrime,Word,Match,the fan,prime_audio/the fan.wav,un fan,target_audio/un fane.wav
FrenchPrime,Word,NoMatch,a lamb,prime_audio/a lamb.wav,le type,target_audio/le type.wav
FrenchPrime,Nonword,NoMatch,a nerve,prime_audio/a nerve.wav,je guèque,target_audio/je gueque.wav
FrenchPrime,Word,NoMatch,it's less,prime_audio/it's less.wav,la digue,target_audio/la digue.wav
FrenchPrime,Nonword,NoMatch,some flesh,prime_audio/some flesh.wav,il nire,target_audio/il nire.wav
FrenchPrime,Nonword,NoMatch,they make,prime_audio/they make.wav,la chaze,target_audio/la chaze.wav
FrenchPrime,Nonword,NoMatch,a mesh,prime_audio/a mesh.wav,la nambe,target_audio/la nambe.wav
NonFrenchPrime,Word,NoMatch,some oats,prime_audio/some oats.wav,un bac,target_audio/un bac.wav
NonFrenchPrime,Word,NoMatch,the pledge,prime_audio/the pledge.wav,la botte,target_audio/la botte.wav
FrenchPrime,Nonword,NoMatch,it's true,prime_audio/it's true.wav,la meuille,target_audio/la meuille.wav
FrenchPrime,Nonword,NoMatch,the tip,prime_audio/the tip.wav,la puge,target_audio/la puge.wav
FrenchPrime,Nonword,NoMatch,they lash,prime_audio/they lash.wav,des deurres,target_audio/des deurre.wav
FrenchPrime,Word,NoMatch,the set,prime_audio/the set.wav,la poche,target_audio/la poche.wav
NonFrenchPrime,Nonword,Match,some guy,prime_audio/some guy.wav,qu'il gaille,target_audio/qu'il gaille.wav
NonFrenchPrime,Nonword,NoMatch,the ice,prime_audio/the ice.wav,plus mappe,target_audio/plus mappe.wav
NonFrenchPrime,Nonword,NoMatch,the isle,prime_audio/the isle.wav,moins flisse,target_audio/moins flisse.wav
FrenchPrime,Word,Match,it's mean,prime_audio/it's mean.wav,la mine,target_audio/la mine.wav
FrenchPrime,Word,Match,they bet,prime_audio/they bet.wav,plus bête,target_audio/plus bete.wav
FrenchPrime,Nonword,NoMatch,some fish,prime_audio/some fish.wav,il douge,target_audio/il douge.wav
FrenchPrime,Word,NoMatch,the part,prime_audio/the part.wav,pas laide,target_audio/pas laide.wav
NonFrenchPrime,Word,NoMatch,a leak,prime_audio/a leak.wav,il tâte,target_audio/il tate.wav
FrenchPrime,Nonword,NoMatch,the grace,prime_audio/the grace.wav,je chirre,target_audio/je chirre.wav
NonFrenchPrime,Word,NoMatch,some fruit,prime_audio/some fruit.wav,une ride,target_audio/une ride.wav
NonFrenchPrime,Word,NoMatch,the stack,prime_audio/the stack.wav,une peine,target_audio/une peine.wav
FrenchPrime,Word,NoMatch,the dawn,prime_audio/the dawn.wav,un lâche,target_audio/un lache.wav
FrenchPrime,Nonword,NoMatch,some feet,prime_audio/some feet.wav,une nêlle,target_audio/une nelle.wav
FrenchPrime,Word,Match,a bag,prime_audio/a bag.wav,la bague,target_audio/la bague.wav
FrenchPrime,Nonword,NoMatch,a bat,prime_audio/a bat.wav,il guinne,target_audio/il guinne.wav
FrenchPrime,Word,NoMatch,the bead,prime_audio/the bead.wav,je lègue,target_audio/je legue.wav
FrenchPrime,Nonword,NoMatch,they pass,prime_audio/they pass.wav,la juse,target_audio/la juse.wav
FrenchPrime,Word,Match,a pale,prime_audio/a pale.wav,la pelle,target_audio/la pelle.wav
FrenchPrime,Nonword,NoMatch,they sigh,prime_audio/they sigh.wav,je goque,target_audio/je goque.wav
FrenchPrime,Nonword,NoMatch,they fell,prime_audio/they fell.wav,plus manses,target_audio/plus manses.wav
NonFrenchPrime,Word,NoMatch,a pad,prime_audio/a pad.wav,de Nice,target_audio/de Nice.wav
FrenchPrime,Word,NoMatch,the pain,prime_audio/the pain.wav,la femme,target_audio/la femme.wav
NonFrenchPrime,Nonword,NoMatch,it's moot,prime_audio/it's moot.wav,je sade,target_audio/je sade.wav
FrenchPrime,Word,Match,the moose,prime_audio/the moose.wav,la mousse,target_audio/la mousse.wav
FrenchPrime,Word,Match,the kit,prime_audio/the kit.wav,je quitte,target_audio/je quitte.wav
FrenchPrime,Word,Match,the top,prime_audio/the top.wav,la taupe,target_audio/la taupe.wav
FrenchPrime,Nonword,NoMatch,a force,prime_audio/a force.wav,une gouque,target_audio/une gouque.wav
FrenchPrime,Nonword,NoMatch,the flow,prime_audio/the flow.wav,une chive,target_audio/une chive.wav
FrenchPrime,Nonword,NoMatch,a fig,prime_audio/a fig.wav,une coume,target_audio/une coume.wav
FrenchPrime,Word,Match,the rain,prime_audio/the rain.wav,les reines,target_audio/les rennes.wav
FrenchPrime,Nonword,NoMatch,the goose,prime_audio/the goose.wav,le dambe,target_audio/le dambe.wav
NonFrenchPrime,Nonword,NoMatch,the game,prime_audio/the game.wav,une liffe,target_audio/une liffe.wav
FrenchPrime,Word,NoMatch,the soul,prime_audio/the soul.wav,la mèche,target_audio/la meche.wav
NonFrenchPrime,Word,NoMatch,a trade,prime_audio/a trade.wav,une loupe,target_audio/une loupe.wav
NonFrenchPrime,Nonword,Match,they die,prime_audio/they die.wav,tu daille,target_audio/tu daille.wav
FrenchPrime,Nonword,NoMatch,the pie,prime_audio/the pie.wav,ils gugent,target_audio/ils guge.wav
FrenchPrime,Nonword,NoMatch,a lot,prime_audio/a lot.wav,des fègues,target_audio/des fegue.wav
FrenchPrime,Word,Match,the ram,prime_audio/the ram.wav,ils rament,target_audio/ils rament.wav
FrenchPrime,Nonword,NoMatch,a clue,prime_audio/a clue.wav,le fuque,target_audio/le fuque.wav
FrenchPrime,Word,Match,it's Tom,prime_audio/it's Tom.wav,un tome,target_audio/un tome.wav
NonFrenchPrime,Word,NoMatch,a seed,prime_audio/a seed.wav,une pâte,target_audio/une pate.wav
FrenchPrime,Nonword,NoMatch,it's Bill,prime_audio/it's Bill.wav,une nuffe,target_audio/une nuffe.wav
NonFrenchPrime,Word,NoMatch,some slack,prime_audio/some slack.wav,ils mettent,target_audio/ils mettent.wav
FrenchPrime,Nonword,NoMatch,some ash,prime_audio/some ash.wav,la gurre,target_audio/la gurre.wav
NonFrenchPrime,Nonword,NoMatch,it's deep,prime_audio/it's deep.wav,la nôse,target_audio/la nose.wav
FrenchPrime,Word,NoMatch,a mate,prime_audio/a mate.wav,qu'elle passe,target_audio/qu'elle passent.wav
NonFrenchPrime,Word,NoMatch,a room,prime_audio/a room.wav,elles paissent,target_audio/elles paissent.wav
NonFrenchPrime,Word,NoMatch,a peach,prime_audio/a peach.wav,un sept,target_audio/un sept.wav
FrenchPrime,Nonword,NoMatch,the sea,prime_audio/the sea.wav,la jeuche,target_audio/la jeuche.wav
FrenchPrime,Word,Match,a fad,prime_audio/a fad.wav,plus fade,target_audio/plus fade.wav
FrenchPrime,Word,NoMatch,a back,prime_audio/a back.wav,je donne,target_audio/je donne.wav
FrenchPrime,Word,NoMatch,the peak,prime_audio/the peak.wav,une dame,target_audio/une dame.wav
FrenchPrime,Nonword,NoMatch,the disk,prime_audio/the disk.wav,la guèffe,target_audio/la gueffe.wav
NonFrenchPrime,Nonword,NoMatch,they laugh,prime_audio/they laugh.wav,je cide,target_audio/je cide.wav
FrenchPrime,Word,NoMatch,the pack,prime_audio/the pack.wav,la fosse,target_audio/la fosse.wav
NonFrenchPrime,Nonword,Match,the mob,prime_audio/the mob.wav,un mabbe,target_audio/un mabbe.wav
FrenchPrime,Word,Match,a bomb,prime_audio/a bomb.wav,le baume,target_audio/le baume.wav
NonFrenchPrime,Word,NoMatch,they move,prime_audio/they move.wav,il guette,target_audio/il guette.wav
FrenchPrime,Word,Match,the pool,prime_audio/the pool.wav,une poule,target_audio/une poule.wav
FrenchPrime,Nonword,NoMatch,the net,prime_audio/the net.wav,la jouque,target_audio/la jouque.wav
NonFrenchPrime,Word,NoMatch,a fleece,prime_audio/a fleece.wav,elle pique,target_audio/elle pique.wav
FrenchPrime,Word,Match,the suit,prime_audio/the suit.wav,la soute,target_audio/la soute.wav
FrenchPrime,Nonword,NoMatch,the web,prime_audio/the web.wav,qu'il ronne,target_audio/qu'il ronne.wav
FrenchPrime,Word,Match,the rave,prime_audio/the rave.wav,un rêve,target_audio/un reve.wav
FrenchPrime,Word,NoMatch,they rid,prime_audio/they rid.wav,plus sotte,target_audio/plus sotte.wav
NonFrenchPrime,Nonword,Match,a cat,prime_audio/a cat.wav,la catte,target_audio/la catte.wav
NonFrenchPrime,Word,NoMatch,a leaf,prime_audio/a leaf.wav,je me baisse,target_audio/je me baisse.wav
FrenchPrime,Nonword,NoMatch,they call,prime_audio/they call.wav,une fulle,target_audio/une fulle.wav
NonFrenchPrime,Nonword,Match,some knees,prime_audio/some knees.wav,je nise,target_audio/je nise.wav
NonFrenchPrime,Word,NoMatch,a plum,prime_audio/a plum.wav,elle bosse,target_audio/elle bosse.wav
FrenchPrime,Word,NoMatch,the pace,prime_audio/the pace.wav,une lotte,target_audio/une lotte.wav
FrenchPrime,Word,Match,they cease,prime_audio/they cease.wav,un six,target_audio/un six.wav
FrenchPrime,Nonword,NoMatch,the tree,prime_audio/the tree.wav,la gege,target_audio/la gege.wav
FrenchPrime,Word,NoMatch,a boat,prime_audio/a boat.wav,la nappe,target_audio/la nappe.wav
NonFrenchPrime,Word,NoMatch,the last,prime_audio/the last.wav,un mille,target_audio/un mille.wav
NonFrenchPrime,Word,NoMatch,a map,prime_audio/a map.wav,je file,target_audio/je file.wav
FrenchPrime,Nonword,NoMatch,a mess,prime_audio/a mess.wav,les ruques,target_audio/les ruque.wav
NonFrenchPrime,Word,NoMatch,it's blue,prime_audio/it's blue.wav,la panne,target_audio/la panne.wav
FrenchPrime,Nonword,NoMatch,they grow,prime_audio/they grow.wav,un beffe,target_audio/un beffe.wav
NonFrenchPrime,Nonword,Match,a bed,prime_audio/a bed.wav,une bêde,target_audio/une bede.wav
FrenchPrime,Word,Match,a lack,prime_audio/a lack.wav,un lac,target_audio/un lac.wav
FrenchPrime,Nonword,NoMatch,a farm,prime_audio/a farm.wav,pas dosse,target_audio/pas dosse.wav
NonFrenchPrime,Word,NoMatch,a phase,prime_audio/a phase.wav,le bide,target_audio/le bide.wav
NonFrenchPrime,Nonword,NoMatch,a knob,prime_audio/a knob.wav,il roume,target_audio/il roume.wav
FrenchPrime,Nonword,NoMatch,they led,prime_audio/they led.wav,une rouque,target_audio/une rouque.wav
FrenchPrime,Nonword,NoMatch,they dig,prime_audio/they dig.wav,plus namme,target_audio/plus namme.wav
NonFrenchPrime,Word,NoMatch,the nose,prime_audio/the nose.wav,je laisse,target_audio/je laisse.wav
NonFrenchPrime,Word,NoMatch,the ghost,prime_audio/the ghost.wav,le site,target_audio/le site.wav
FrenchPrime,Word,NoMatch,the meal,prime_audio/the meal.wav,une gousse,target_audio/une gousse.wav
FrenchPrime,Nonword,NoMatch,the vase,prime_audio/the vase.wav,ils tochent,target_audio/ils toche.wav
FrenchPrime,Word,Match,the sheep,prime_audio/the sheep.wav,il chipe,target_audio/il chipe.wav
FrenchPrime,Nonword,NoMatch,they beg,prime_audio/they beg.wav,un oinde,target_audio/un oinde.wav
NonFrenchPrime,Nonword,Match,it's Ted,prime_audio/it's Ted.wav,le tède,target_audio/le tede.wav
FrenchPrime,Word,Match,a toll,prime_audio/a toll.wav,la tôle,target_audio/la tole.wav
FrenchPrime,Nonword,NoMatch,a zoo,prime_audio/a zoo.wav,un gomme,target_audio/un gomme.wav
FrenchPrime,Word,NoMatch,a tart,prime_audio/a tart.wav,je colle,target_audio/je colle.wav
FrenchPrime,Word,NoMatch,they sit,prime_audio/they sit.wav,le mec,target_audio/le mec.wav
NonFrenchPrime,Nonword,Match,the fog,prime_audio/the fog.wav,plus fague,target_audio/plus fague.wav
FrenchPrime,Word,NoMatch,the boss,prime_audio/the boss.wav,plus net,target_audio/plus net.wav
FrenchPrime,Word,NoMatch,they get,prime_audio/they get.wav,il fiche,target_audio/il fiche.wav
FrenchPrime,Word,Match,some cash,prime_audio/some cash.wav,je cache,target_audio/je cache.wav
NonFrenchPrime,Nonword,NoMatch,it's good,prime_audio/it's good.wav,le piche,target_audio/le piche.wav
NonFrenchPrime,Nonword,Match,the cue,prime_audio/the cue.wav,de quiou,target_audio/de quiou.wav
NonFrenchPrime,Word,NoMatch,some bread,prime_audio/some bread.wav,le sol,target_audio/le sol.wav
FrenchPrime,Word,Match,the vet,prime_audio/the vet.wav,le vête,target_audio/le vete.wav
NonFrenchPrime,Nonword,NoMatch,the duck,prime_audio/the duck.wav,la braide,target_audio/la braide.wav
FrenchPrime,Word,Match,a road,prime_audio/a road.wav,je rôde,target_audio/je rode.wav
FrenchPrime,Word,NoMatch,the base,prime_audio/the base.wav,la manne,target_audio/la manne.wav
NonFrenchPrime,Nonword,NoMatch,it's Ken,prime_audio/it's Ken.wav,une lousse,target_audio/une lousse.wav
FrenchPrime,Nonword,NoMatch,a dam,prime_audio/a dam.wav,le vusse,target_audio/le vusse.wav
FrenchPrime,Word,Match,a pill,prime_audio/a pill.wav,la pile,target_audio/la pile.wav
FrenchPrime,Word,NoMatch,a pan,prime_audio/a pan.wav,la bile,target_audio/la bile.wav
FrenchPrime,Nonword,NoMatch,it's buff,prime_audio/it's buff.wav,elle nève,target_audio/elle neve.wav
FrenchPrime,Word,Match,a tap,prime_audio/a tap.wav,elle tape,target_audio/elle tape.wav
FrenchPrime,Nonword,NoMatch,the man,prime_audio/the man.wav,une bèrre,target_audio/une berre.wav
NonFrenchPrime,Nonword,NoMatch,they keep,prime_audio/they keep.wav,elle mouve,target_audio/elle mouve.wav
NonFrenchPrime,Word,NoMatch,it's loose,prime_audio/it's loose.wav,une côte,target_audio/une cote.wav
FrenchPrime,Word,NoMatch,a seal,prime_audio/a seal.wav,un bègue,target_audio/un begue.wav
