prime_text,prime_audio,prime_lex,target_text,target_audio,target_lex,similarity
a map,prime_audio/a map.wav,NonFrenchPrime,le type,target_audio/le type.wav,Word,NoMatch
it's Bill,prime_audio/it's Bill.wav,FrenchPrime,un fan,target_audio/un fane.wav,Word,NoMatch
the kit,prime_audio/the kit.wav,FrenchPrime,un oinde,target_audio/un oinde.wav,Nonword,NoMatch
a fee,prime_audio/a fee.wav,FrenchPrime,le jache,target_audio/le jache.wav,Nonword,NoMatch
a lot,prime_audio/a lot.wav,FrenchPrime,la mousse,target_audio/la mousse.wav,Word,NoMatch
the pool,prime_audio/the pool.wav,FrenchPrime,il vique,target_audio/il vique.wav,Nonword,NoMatch
a peach,prime_audio/a peach.wav,NonFrenchPrime,pas laide,target_audio/pas laide.wav,Word,NoMatch
some knees,prime_audio/some knees.wav,NonFrenchPrime,je nise,target_audio/je nise.wav,Nonword,Match
a lease,prime_audio/a lease.wav,FrenchPrime,la chaze,target_audio/la chaze.wav,Nonword,NoMatch
they caught,prime_audio/they caught.wav,FrenchPrime,une côte,target_audio/une cote.wav,Word,Match
the stack,prime_audio/the stack.wav,NonFrenchPrime,plus net,target_audio/plus net.wav,Word,NoMatch
the vase,prime_audio/the vase.wav,FrenchPrime,ils tochent,target_audio/ils toche.wav,Nonword,NoMatch
they sigh,prime_audio/they sigh.wav,FrenchPrime,je goque,target_audio/je goque.wav,Nonword,NoMatch
they lash,prime_audio/they lash.wav,FrenchPrime,le vête,target_audio/le vete.wav,Word,NoMatch
they beg,prime_audio/they beg.wav,FrenchPrime,je rôde,target_audio/je rode.wav,Word,NoMatch
it's buff,prime_audio/it's buff.wav,FrenchPrime,elle nève,target_audio/elle neve.wav,Nonword,NoMatch
the part,prime_audio/the part.wav,FrenchPrime,une pâte,target_audio/une pate.wav,Word,Match
the net,prime_audio/the net.wav,FrenchPrime,la bague,target_audio/la bague.wav,Word,NoMatch
the folk,prime_audio/the folk.wav,FrenchPrime,je cache,target_audio/je cache.wav,Word,NoMatch
a tap,prime_audio/a tap.wav,FrenchPrime,le dambe,target_audio/le dambe.wav,Nonword,NoMatch
a leaf,prime_audio/a leaf.wav,NonFrenchPrime,la nappe,target_audio/la nappe.wav,Word,NoMatch
they bet,prime_audio/they bet.wav,FrenchPrime,le vusse,target_audio/le vusse.wav,Nonword,NoMatch
the sheep,prime_audio/the sheep.wav,FrenchPrime,une gouque,target_audio/une gouque.wav,Nonword,NoMatch
the man,prime_audio/the man.wav,FrenchPrime,la tôle,target_audio/la tole.wav,Word,NoMatch
the leg,prime_audio/the leg.wav,FrenchPrime,ils rament,target_audio/ils rament.wav,Word,NoMatch
some slack,prime_audio/some slack.wav,NonFrenchPrime,la mèche,target_audio/la meche.wav,Word,NoMatch
it's moot,prime_audio/it's moot.wav,NonFrenchPrime,je sade,target_audio/je sade.wav,Nonword,NoMatch
the pack,prime_audio/the pack.wav,FrenchPrime,la pâques,target_audio/la paques.wav,Word,Match
the nose,prime_audio/the nose.wav,NonFrenchPrime,plus belle,target_audio/plus belle.wav,Word,NoMatch
it's loose,prime_audio/it's loose.wav,NonFrenchPrime,une ville,target_audio/une ville.wav,Word,NoMatch
it's mean,prime_audio/it's mean.wav,FrenchPrime,un quème,target_audio/un queme.wav,Nonword,NoMatch
the eel,prime_audio/the eel.wav,FrenchPrime,une quèppe,target_audio/une keppe.wav,Nonword,NoMatch
the tune,prime_audio/the tune.wav,NonFrenchPrime,la poche,target_audio/la poche.wav,Word,NoMatch
a fad,prime_audio/a fad.wav,FrenchPrime,je voule,target_audio/je voule.wav,Nonword,NoMatch
a nerve,prime_audio/a nerve.wav,FrenchPrime,je guèque,target_audio/je gueque.wav,Nonword,NoMatch
the mob,prime_audio/the mob.wav,NonFrenchPrime,un mabbe,target_audio/un mabbe.wav,Nonword,Match
a farm,prime_audio/a farm.wav,FrenchPrime,plus bête,target_audio/plus bete.wav,Word,NoMatch
a bag,prime_audio/a bag.wav,FrenchPrime,la jouque,target_audio/la jouque.wav,Nonword,NoMatch
the moose,prime_audio/the moose.wav,FrenchPrime,des deurres,target_audio/des deurre.wav,Nonword,NoMatch
the set,prime_audio/the set.wav,FrenchPrime,un sept,target_audio/un sept.wav,Word,Match
they cope,prime_audio/they cope.wav,NonFrenchPrime,la côppe,target_audio/la coppe.wav,Nonword,Match
a road,prime_audio/a road.wav,FrenchPrime,je me gaque,target_audio/je me gaque.wav,Nonword,NoMatch
a pan,prime_audio/a pan.wav,FrenchPrime,la panne,target_audio/la panne.wav,Word,Match
the vet,prime_audio/the vet.wav,FrenchPrime,une foge,target_audio/une foge.wav,Nonword,NoMatch
a loop,prime_audio/a loop.wav,FrenchPrime,une loupe,target_audio/une loupe.wav,Word,Match
a zoo,prime_audio/a zoo.wav,FrenchPrime,un gomme,target_audio/un gomme.wav,Nonword,NoMatch
a seal,prime_audio/a seal.wav,FrenchPrime,un cil,target_audio/un cil.wav,Word,Match
the fog,prime_audio/the fog.wav,NonFrenchPrime,plus fague,target_audio/plus fague.wav,Nonword,Match
a boat,prime_audio/a boat.wav,FrenchPrime,la botte,target_audio/la botte.wav,Word,Match
the pie,prime_audio/the pie.wav,FrenchPrime,ils gugent,target_audio/ils guge.wav,Nonword,NoMatch
a bat,prime_audio/a bat.wav,FrenchPrime,il guinne,target_audio/il guinne.wav,Nonword,NoMatch
the cue,prime_audio/the cue.wav,NonFrenchPrime,de quiou,target_audio/de quiou.wav,Nonword,Match
they make,prime_audio/they make.wav,FrenchPrime,la lice,target_audio/la lice.wav,Word,NoMatch
the rave,prime_audio/the rave.wav,FrenchPrime,une jangue,target_audio/une jangue.wav,Nonword,NoMatch
the ram,prime_audio/the ram.wav,FrenchPrime,il douge,target_audio/il douge.wav,Nonword,NoMatch
it's Tom,prime_audio/it's Tom.wav,FrenchPrime,une rouque,target_audio/une rouque.wav,Nonword,NoMatch
the bead,prime_audio/the bead.wav,FrenchPrime,le bide,target_audio/le bide.wav,Word,Match
the duck,prime_audio/the duck.wav,NonFrenchPrime,la braide,target_audio/la braide.wav,Nonword,NoMatch
they call,prime_audio/they call.wav,FrenchPrime,la taupe,target_audio/la taupe.wav,Word,NoMatch
the isle,prime_audio/the isle.wav,NonFrenchPrime,moins flisse,target_audio/moins flisse.wav,Nonword,NoMatch
the ice,prime_audio/the ice.wav,NonFrenchPrime,plus mappe,target_audio/plus mappe.wav,Nonword,NoMatch
they dig,prime_audio/they dig.wav,FrenchPrime,la soute,target_audio/la soute.wav,Word,NoMatch
a lamb,prime_audio/a lamb.wav,FrenchPrime,une lame,target_audio/une lame.wav,Word,Match
it's true,prime_audio/it's true.wav,FrenchPrime,la meuille,target_audio/la meuille.wav,Nonword,NoMatch
the meal,prime_audio/the meal.wav,FrenchPrime,un mille,target_audio/un mille.wav,Word,Match
a mate,prime_audio/a mate.wav,FrenchPrime,ils mettent,target_audio/ils mettent.wav,Word,Match
some fish,prime_audio/some fish.wav,FrenchPrime,un tome,target_audio/un tome.wav,Word,NoMatch
it's Ken,prime_audio/it's Ken.wav,NonFrenchPrime,une lousse,target_audio/une lousse.wav,Nonword,NoMatch
the tip,prime_audio/the tip.wav,FrenchPrime,les reines,target_audio/les rennes.wav,Word,NoMatch
they fill,prime_audio/they fill.wav,FrenchPrime,je file,target_audio/je file.wav,Word,Match
the last,prime_audio/the last.wav,NonFrenchPrime,moins raide,target_audio/moins raide.wav,Word,NoMatch
they fell,prime_audio/they fell.wav,FrenchPrime,plus manses,target_audio/plus manses.wav,Nonword,NoMatch
a tart,prime_audio/a tart.wav,FrenchPrime,il tâte,target_audio/il tate.wav,Word,Match
it's good,prime_audio/it's good.wav,NonFrenchPrime,le piche,target_audio/le piche.wav,Nonword,NoMatch
the pain,prime_audio/the pain.wav,FrenchPrime,une peine,target_audio/une peine.wav,Word,Match
some tea,prime_audio/some tea.wav,FrenchPrime,la dôle,target_audio/la dole.wav,Nonword,NoMatch
they led,prime_audio/they led.wav,FrenchPrime,la face,target_audio/la face.wav,Word,NoMatch
it's blue,prime_audio/it's blue.wav,NonFrenchPrime,la bile,target_audio/la bile.wav,Word,NoMatch
the ghost,prime_audio/the ghost.wav,NonFrenchPrime,le mec,target_audio/le mec.wav,Word,NoMatch
a fig,prime_audio/a fig.wav,FrenchPrime,une coume,target_audio/une coume.wav,Nonword,NoMatch
they get,prime_audio/they get.wav,FrenchPrime,il guette,target_audio/il guette.wav,Word,Match
they cease,prime_audio/they cease.wav,FrenchPrime,une nuffe,target_audio/une nuffe.wav,Nonword,NoMatch
it's deep,prime_audio/it's deep.wav,NonFrenchPrime,la nôse,target_audio/la nose.wav,Nonword,NoMatch
a niece,prime_audio/a niece.wav,FrenchPrime,de Nice,target_audio/de Nice.wav,Word,Match
the dawn,prime_audio/the dawn.wav,FrenchPrime,un lac,target_audio/un lac.wav,Word,NoMatch
a clue,prime_audio/a clue.wav,FrenchPrime,le fuque,target_audio/le fuque.wav,Nonword,NoMatch
a fleece,prime_audio/a fleece.wav,NonFrenchPrime,une dame,target_audio/une dame.wav,Word,NoMatch
they keep,prime_audio/they keep.wav,NonFrenchPrime,elle mouve,target_audio/elle mouve.wav,Nonword,NoMatch
a leak,prime_audio/a leak.wav,NonFrenchPrime,une messe,target_audio/une messe.wav,Word,NoMatch
a bell,prime_audio/a bell.wav,FrenchPrime,plus fade,target_audio/plus fade.wav,Word,NoMatch
a bed,prime_audio/a bed.wav,NonFrenchPrime,une bêde,target_audio/une bede.wav,Nonword,Match
some oats,prime_audio/some oats.wav,NonFrenchPrime,je donne,target_audio/je donne.wav,Word,NoMatch
they grow,prime_audio/they grow.wav,FrenchPrime,un beffe,target_audio/un beffe.wav,Nonword,NoMatch
they pass,prime_audio/they pass.wav,FrenchPrime,une veine,target_audio/une veine.wav,Word,NoMatch
a mesh,prime_audio/a mesh.wav,FrenchPrime,la pile,target_audio/la pile.wav,Word,NoMatch
it's posh,prime_audio/it's posh.wav,FrenchPrime,un rêve,target_audio/un reve.wav,Word,NoMatch
a toll,prime_audio/a toll.wav,FrenchPrime,plus binque,target_audio/plus binque.wav,Nonword,NoMatch
the base,prime_audio/the base.wav,FrenchPrime,je me baisse,target_audio/je me baisse.wav,Word,Match
some bread,prime_audio/some bread.wav,NonFrenchPrime,la femme,target_audio/la femme.wav,Word,NoMatch
they sit,prime_audio/they sit.wav,FrenchPrime,le site,target_audio/le site.wav,Word,Match
the disk,prime_audio/the disk.wav,FrenchPrime,la guèffe,target_audio/la gueffe.wav,Nonword,NoMatch
they laugh,prime_audio/they laugh.wav,NonFrenchPrime,je cide,target_audio/je cide.wav,Nonword,NoMatch
some veal,prime_audio/some veal.wav,FrenchPrime,elle tape,target_audio/elle tape.wav,Word,NoMatch
a bomb,prime_audio/a bomb.wav,FrenchPrime,les ruques,target_audio/les ruque.wav,Nonword,NoMatch
a dam,prime_audio/a dam.wav,FrenchPrime,une poule,target_audio/une poule.wav,Word,NoMatch
the pledge,prime_audio/the pledge.wav,NonFrenchPrime,la fosse,target_audio/la fosse.wav,Word,NoMatch
a pad,prime_audio/a pad.wav,NonFrenchPrime,plus sotte,target_audio/plus sotte.wav,Word,NoMatch
the top,prime_audio/the top.wav,FrenchPrime,une fulle,target_audio/une fulle.wav,Nonword,NoMatch
some ash,prime_audio/some ash.wav,FrenchPrime,la gurre,target_audio/la gurre.wav,Nonword,NoMatch
a room,prime_audio/a room.wav,NonFrenchPrime,une lotte,target_audio/une lotte.wav,Word,NoMatch
a mess,prime_audio/a mess.wav,FrenchPrime,je quitte,target_audio/je quitte.wav,Word,NoMatch
a force,prime_audio/a force.wav,FrenchPrime,il chipe,target_audio/il chipe.wav,Word,NoMatch
it's Ted,prime_audio/it's Ted.wav,NonFrenchPrime,le tède,target_audio/le tede.wav,Nonword,Match
a nap,prime_audio/a nap.wav,FrenchPrime,la mine,target_audio/la mine.wav,Word,NoMatch
the grace,prime_audio/the grace.wav,FrenchPrime,je chirre,target_audio/je chirre.wav,Nonword,NoMatch
some meat,prime_audio/some meat.wav,FrenchPrime,la mite,target_audio/la mite.wav,Word,Match
some guy,prime_audio/some guy.wav,NonFrenchPrime,qu'il gaille,target_audio/qu'il gaille.wav,Nonword,Match
the boss,prime_audio/the boss.wav,FrenchPrime,elle bosse,target_audio/elle bosse.wav,Word,Match
they rid,prime_audio/they rid.wav,FrenchPrime,une ride,target_audio/une ride.wav,Word,Match
the sash,prime_audio/the sash.wav,FrenchPrime,la velle,target_audio/la velle.wav,Nonword,NoMatch
they move,prime_audio/they move.wav,NonFrenchPrime,un bègue,target_audio/un begue.wav,Word,NoMatch
a pill,prime_audio/a pill.wav,FrenchPrime,la nambe,target_audio/la nambe.wav,Nonword,NoMatch
